date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,2,0,0
2020-02-28,0,1,0,0
2020-02-29,0,0,0,0
2020-03-01,0,3,0,0
2020-03-02,0,0,0,0
2020-03-03,570,0,0,0
2020-03-04,0,2,0,0
2020-03-05,0,22,0,0
2020-03-06,0,14,0,0
2020-03-07,0,1,0,0
2020-03-08,0,27,0,0
2020-03-09,0,0,0,0
2020-03-10,0,16,0,0
2020-03-11,0,10,0,1
2020-03-12,1610,0,0,0
2020-03-13,520,91,0,0
2020-03-14,700,38,8,2
2020-03-15,600,103,0,1
2020-03-16,320,0,0,0
2020-03-17,0,56,0,1
2020-03-18,1680,31,0,0
2020-03-19,0,0,0,1
2020-03-20,1172,77,11,0
2020-03-21,658,35,0,7
2020-03-22,176,94,0,2
2020-03-23,638,71,0,2
2020-03-24,427,48,10,3
2020-03-25,1424,78,7,2
2020-03-26,0,71,0,4
2020-03-27,2982,74,16,2
2020-03-28,886,95,0,4
2020-03-29,788,95,0,6
2020-03-30,810,56,0,5
2020-03-31,771,102,0,6
2020-04-01,618,101,0,1
2020-04-02,1494,129,9,3
2020-04-03,3593,69,17,10
2020-04-04,896,60,0,5
2020-04-05,2120,62,0,5
2020-04-06,740,20,191,6
2020-04-07,2391,77,0,2
2020-04-08,3944,52,0,2
2020-04-09,1106,71,0,4
2020-04-10,1798,56,0,5
2020-04-11,1912,70,0,1
2020-04-12,4917,33,0,5
2020-04-13,1170,31,0,1
2020-04-14,0,25,0,2
2020-04-15,3958,22,0,1
2020-04-16,2001,15,0,3
2020-04-17,2255,17,0,3
2020-04-18,1645,11,0,2
2020-04-19,0,0,0,3
2020-04-20,1054,10,0,3
2020-04-21,1322,156,308,5
2020-04-22,1326,7,0,0
2020-04-23,2249,55,0,4
2020-04-24,2166,27,0,5
2020-04-25,1680,16,0,0
2020-04-26,1521,11,0,4
2020-04-27,1486,17,0,2
2020-04-28,3739,32,0,2
2020-04-29,2297,10,0,1
2020-04-30,3040,15,797,1
2020-05-01,2081,21,0,0
2020-05-02,956,8,0,3
2020-05-03,1125,6,0,1
2020-05-04,1619,6,0,2
2020-05-05,2799,10,0,0
2020-05-06,3302,21,0,1
2020-05-07,2991,15,0,1
2020-05-08,4248,13,0,2
2020-05-09,3093,19,0,1
2020-05-10,1493,6,0,0
2020-05-11,486,10,0,0
2020-05-12,6691,18,0,1
2020-05-13,5988,16,0,3
2020-05-14,4191,10,0,1
2020-05-15,3782,40,0,4
2020-05-16,6268,9,0,2
2020-05-17,2242,15,0,1
2020-05-18,3159,2,0,2
2020-05-19,4317,4,0,0
2020-05-20,3444,10,0,1
2020-05-21,4633,3,0,2
2020-05-22,3880,21,0,1
2020-05-23,5040,2,0,2
2020-05-24,965,2,0,0
2020-05-25,1074,4,0,1
2020-05-26,5954,10,0,1
2020-05-27,5254,11,0,0
2020-05-28,4222,3,0,2
2020-05-29,4377,3,0,0
2020-05-30,3472,6,0,0
2020-05-31,2202,2,0,0
2020-06-01,1905,1,0,4
2020-06-02,3167,19,0,0
2020-06-03,0,0,0,0
2020-06-04,8339,15,0,1
2020-06-05,0,15,0,0
