date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,20,0,0,0
2020-01-28,8,0,0,0
2020-01-29,5,0,0,0
2020-01-30,1,0,0,0
2020-01-31,3,0,0,0
2020-02-01,1,0,0,0
2020-02-02,5,0,0,0
2020-02-03,5,0,0,0
2020-02-04,5,0,0,0
2020-02-05,0,0,0,0
2020-02-06,3,0,0,0
2020-02-07,6,0,0,0
2020-02-08,0,0,0,0
2020-02-09,2,0,0,0
2020-02-10,8,0,0,0
2020-02-11,2,0,0,0
2020-02-12,1,0,0,0
2020-02-13,1,0,0,0
2020-02-14,0,0,0,0
2020-02-15,1,0,0,0
2020-02-16,1,0,0,0
2020-02-17,2,0,0,0
2020-02-18,0,0,0,0
2020-02-19,2,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,1,0,0,0
2020-02-23,3,0,0,0
2020-02-24,12,0,0,0
2020-02-25,14,0,0,0
2020-02-26,23,0,0,0
2020-02-27,35,0,0,0
2020-02-28,23,0,0,0
2020-02-29,7,0,0,0
2020-03-01,11,3,0,0
2020-03-02,51,0,0,0
2020-03-03,78,2,0,0
2020-03-04,67,1,0,0
2020-03-05,76,3,0,0
2020-03-06,111,11,0,0
2020-03-07,193,7,0,0
2020-03-08,141,6,0,0
2020-03-09,265,6,0,0
2020-03-10,165,25,0,0
2020-03-11,458,31,0,0
2020-03-12,537,22,0,0
2020-03-13,845,25,0,0
2020-03-14,986,48,0,0
2020-03-15,1028,109,0,0
2020-03-16,1319,85,3,0
2020-03-17,1294,67,0,0
2020-03-18,1756,110,0,0
2020-03-19,2259,206,0,0
2020-03-20,2121,124,1,0
2020-03-21,1882,159,2,0
2020-03-22,1801,115,0,1
2020-03-23,2291,126,0,0
2020-03-24,3062,185,4,2
2020-03-25,4107,292,0,3
2020-03-26,4633,259,0,3
2020-03-27,5359,377,1,0
2020-03-28,4224,263,0,2
2020-03-29,2848,159,0,5
2020-03-30,5159,184,14,7
2020-03-31,6661,304,20,8
2020-04-01,6102,283,16,8
2020-04-02,6673,268,6,5
2020-04-03,7398,333,5,9
2020-04-04,5837,283,6,6
2020-04-05,4812,117,18,8
2020-04-06,6435,236,25,11
2020-04-07,8173,196,51,10
2020-04-08,8469,294,61,11
2020-04-09,8180,257,68,13
2020-04-10,5702,163,45,7
2020-04-11,4891,170,65,10
2020-04-12,3250,89,53,9
2020-04-13,3215,68,55,5
2020-04-14,6173,82,123,18
2020-04-15,8476,160,177,5
2020-04-16,8381,132,153,3
2020-04-17,8288,116,202,4
2020-04-18,5605,105,53,8
2020-04-19,4027,92,71,5
2020-04-20,6567,154,261,8
2020-04-21,8341,133,194,7
2020-04-22,8818,99,236,7
2020-04-23,7901,55,163,2
2020-04-24,7129,86,219,4
2020-04-25,4446,79,82,4
2020-04-26,3381,52,92,2
2020-04-27,7754,41,281,3
2020-04-28,8741,60,122,4
2020-04-29,7322,75,160,0
2020-04-30,7396,103,206,9
2020-05-01,4497,55,58,4
2020-05-02,3885,18,89,5
2020-05-03,3881,26,126,3
2020-05-04,7756,38,220,4
2020-05-05,9383,77,199,5
2020-05-06,8052,78,199,5
2020-05-07,7599,57,166,8
2020-05-08,4510,46,42,3
2020-05-09,3788,18,34,3
2020-05-10,4052,28,27,4
2020-05-11,7809,53,237,2
2020-05-12,8755,45,178,1
2020-05-13,7687,49,158,7
2020-05-14,6902,82,194,3
2020-05-15,6790,55,140,2
2020-05-16,4197,50,41,1
2020-05-17,3553,20,40,2
2020-05-18,7458,111,179,-1
2020-05-19,8336,62,85,5
2020-05-20,7518,74,104,2
2020-05-21,7290,33,96,2
2020-05-22,7748,59,99,6
2020-05-23,5059,77,19,2
2020-05-24,3849,65,34,1
2020-05-25,7508,47,104,2
2020-05-26,7241,48,88,0
2020-05-27,6846,37,100,0
2020-05-28,6013,54,90,2
2020-05-29,6113,56,40,0
2020-05-30,3548,34,46,0
2020-05-31,2141,38,12,1
2020-06-01,5721,34,84,1
2020-06-02,6478,62,44,2
2020-06-03,5313,74,63,2
