date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,16,0,0,0
2020-02-27,9,0,0,0
2020-02-28,5,0,0,0
2020-02-29,3,0,0,0
2020-03-01,3,0,0,0
2020-03-02,9,0,0,0
2020-03-03,1,0,0,0
2020-03-04,4,0,0,0
2020-03-05,0,0,0,0
2020-03-06,17,1,0,0
2020-03-07,24,0,0,0
2020-03-08,3,0,0,0
2020-03-09,7,0,0,0
2020-03-10,16,4,0,0
2020-03-11,34,7,0,0
2020-03-12,34,7,0,0
2020-03-13,54,16,0,0
2020-03-14,29,11,0,0
2020-03-15,15,2,0,0
2020-03-16,33,7,1,0
2020-03-17,58,10,0,0
2020-03-18,66,18,0,0
2020-03-19,66,20,0,0
2020-03-20,79,32,0,1
2020-03-21,87,36,0,0
2020-03-22,89,51,0,1
2020-03-23,61,27,0,1
2020-03-24,94,54,14,0
2020-03-25,245,81,0,1
2020-03-26,295,0,0,-3
2020-03-27,259,73,0,0
2020-03-28,371,202,0,9
2020-03-29,376,82,0,3
2020-03-30,622,44,0,3
2020-03-31,477,115,0,0
2020-04-01,810,160,0,12
2020-04-02,637,111,0,3
2020-04-03,748,305,0,8
2020-04-04,645,148,0,5
2020-04-05,959,284,0,7
2020-04-06,1192,292,0,7
2020-04-07,1074,247,0,3
2020-04-08,1135,219,0,4
2020-04-09,1586,201,0,1
2020-04-10,1893,238,0,5
2020-04-11,2159,275,0,3
2020-04-12,1913,250,0,6
2020-04-13,2646,424,0,5
2020-04-14,2440,411,0,9
2020-04-15,2880,408,0,5
2020-04-16,3194,445,0,4
2020-04-17,3094,372,519,7
2020-04-18,3462,304,103,7
2020-04-19,2673,324,116,5
2020-04-20,3111,312,117,3
2020-04-21,3543,260,107,5
2020-04-22,3281,254,48,4
2020-04-23,2688,132,42,5
2020-04-24,3563,207,27,5
2020-04-25,5051,296,58,7
2020-04-26,4365,263,30,5
2020-04-27,3614,233,27,6
2020-04-28,5446,222,51,6
2020-04-29,5579,227,32,5
2020-04-30,6703,285,51,6
2020-05-01,5906,0,0,0
2020-05-02,5086,353,83,10
2020-05-03,5274,102,125,4
2020-05-04,4550,93,23,4
2020-05-05,4817,120,149,3
2020-05-06,6196,114,248,3
2020-05-07,5521,57,189,3
2020-05-08,5810,95,293,3
2020-05-09,5728,89,279,6
2020-05-10,6059,0,0,0
2020-05-11,5012,144,558,3
2020-05-12,5700,67,310,2
2020-05-13,5299,52,224,2
2020-05-14,6194,79,260,2
2020-05-15,5873,64,217,1
2020-05-16,6076,58,178,3
2020-05-17,6526,114,234,2
2020-05-18,4113,89,86,1
2020-05-19,5298,34,105,3
2020-05-20,6198,100,163,1
2020-05-21,6918,86,303,2
2020-05-22,5998,105,171,0
2020-05-23,4415,68,158,1
2020-05-24,3644,67,158,0
2020-05-25,2488,34,63,1
2020-05-26,3427,34,147,0
2020-05-27,5714,48,210,1
2020-05-28,4534,25,161,1
2020-05-29,5215,54,86,1
2020-05-30,3548,27,82,0
2020-05-31,2663,31,92,1
2020-06-01,2315,18,28,1
2020-06-02,4372,24,40,1
2020-06-03,5110,69,86,0
2020-06-04,4024,48,58,1
2020-06-05,4795,96,21,1
