date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,2,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,3,0,0
2020-03-06,0,0,0,0
2020-03-07,0,3,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,2,0,0
2020-03-11,0,0,3,0
2020-03-12,0,0,0,0
2020-03-13,0,4,0,1
2020-03-14,0,0,0,0
2020-03-15,0,8,3,0
2020-03-16,0,5,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,16,0,0
2020-03-20,0,0,0,0
2020-03-21,0,9,5,0
2020-03-22,0,12,-1,0
2020-03-23,0,7,0,0
2020-03-24,0,15,0,0
2020-03-25,0,6,0,1
2020-03-26,0,29,5,1
2020-03-27,0,43,0,0
2020-03-28,0,17,0,1
2020-03-29,0,27,0,0
2020-03-30,0,64,11,0
2020-03-31,0,25,0,1
2020-04-01,0,61,0,0
2020-04-02,0,41,0,0
2020-04-03,0,43,6,0
2020-04-04,0,78,0,0
2020-04-05,0,63,0,2
2020-04-06,0,57,12,0
2020-04-07,0,76,0,1
2020-04-08,0,105,19,0
2020-04-09,0,104,38,1
2020-04-10,0,65,58,1
2020-04-11,0,67,41,1
2020-04-12,0,40,50,0
2020-04-13,0,50,39,1
2020-04-14,0,49,62,1
2020-04-15,0,56,53,0
2020-04-16,0,30,56,2
2020-04-17,0,57,68,0
2020-04-18,0,33,62,3
2020-04-19,0,25,122,1
2020-04-20,0,38,79,0
2020-04-21,0,44,74,1
2020-04-22,0,38,42,0
2020-04-23,0,30,41,0
2020-04-24,0,44,65,1
2020-04-25,0,25,67,0
2020-04-26,0,28,59,0
2020-04-27,0,33,23,1
2020-04-28,0,39,59,0
2020-04-29,0,49,46,1
2020-04-30,0,38,58,1
2020-05-01,0,50,40,1
2020-05-02,0,40,46,0
2020-05-03,0,38,30,0
2020-05-04,0,52,39,1
2020-05-05,0,76,28,0
2020-05-06,0,67,28,2
2020-05-07,0,77,15,0
2020-05-08,0,75,25,0
2020-05-09,0,143,44,3
2020-05-10,0,97,30,1
2020-05-11,0,70,30,0
2020-05-12,0,104,0,1
2020-05-13,0,65,109,2
2020-05-14,0,121,44,0
2020-05-15,0,101,53,1
2020-05-16,0,158,58,0
2020-05-17,0,136,71,3
2020-05-18,0,113,40,1
2020-05-19,0,131,143,1
2020-05-20,0,113,55,2
2020-05-21,0,118,87,1
2020-05-22,0,106,59,2
2020-05-23,0,127,107,3
2020-05-24,0,140,101,0
2020-05-25,0,149,134,2
2020-05-26,0,132,78,1
2020-05-27,0,165,78,2
2020-05-28,0,191,125,2
2020-05-29,0,230,103,2
2020-05-30,0,257,202,3
2020-05-31,0,248,101,2
2020-06-01,0,168,80,5
2020-06-02,0,273,56,3
2020-06-03,0,325,101,5
2020-06-04,0,262,72,2
2020-06-05,0,338,134,4
2020-06-06,0,379,153,2
2020-06-07,0,314,125,4
2020-06-08,0,323,228,5
2020-06-09,0,315,229,5
