date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,3,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,1,0,0
2020-01-29,0,1,0,0
2020-01-30,0,1,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,5,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,2,0
2020-02-13,0,0,1,0
2020-02-14,0,0,0,0
2020-02-15,0,1,1,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,3,0
2020-02-20,0,0,0,0
2020-02-21,0,0,3,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,1,0
2020-02-25,0,2,0,0
2020-02-26,0,4,1,0
2020-02-27,0,20,0,0
2020-02-28,0,19,0,0
2020-02-29,0,43,0,0
2020-03-01,0,30,0,0
2020-03-02,0,61,0,0
2020-03-03,0,21,0,0
2020-03-04,0,73,0,0
2020-03-05,0,138,0,0
2020-03-06,0,190,0,0
2020-03-07,0,336,0,0
2020-03-08,0,0,0,0
2020-03-09,0,463,0,0
2020-03-10,0,372,0,0
2020-03-11,0,497,0,0
2020-03-12,0,595,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1624,0,0
2020-03-15,0,923,0,0
2020-03-16,0,0,0,0
2020-03-17,0,2307,590,0
2020-03-18,0,1404,398,0
2020-03-19,0,1861,300,0
2020-03-20,0,1617,287,0
2020-03-21,0,1847,0,0
2020-03-22,0,2230,613,0
2020-03-23,0,3167,0,0
2020-03-24,0,2446,1081,0
2020-03-25,0,2931,619,0
2020-03-26,0,3922,1048,0
2020-03-27,0,3809,0,0
2020-03-28,0,4611,0,0
2020-03-29,0,2599,0,0
2020-03-30,0,4376,2976,0
2020-03-31,0,7578,1520,0
2020-04-01,0,4861,1491,4403
2020-04-02,0,2116,1493,984
2020-04-03,0,5233,1580,1120
2020-04-04,0,4267,1430,1053
2020-04-05,0,1873,745,518
2020-04-06,0,3912,1067,833
2020-04-07,0,3777,2087,1417
2020-04-08,0,3881,1917,541
2020-04-09,0,4286,1952,1341
2020-04-10,0,4342,1726,987
2020-04-11,0,3114,1459,635
2020-04-12,0,1613,795,561
2020-04-13,0,2673,532,574
2020-04-14,0,5497,1087,762
2020-04-15,0,2633,2190,1438
2020-04-16,0,2641,1817,753
2020-04-17,0,405,1608,761
2020-04-18,0,2569,1563,642
2020-04-19,0,785,595,395
2020-04-20,0,2051,831,547
2020-04-21,0,2667,1772,531
2020-04-22,0,1827,1476,544
2020-04-23,0,1653,1431,516
2020-04-24,0,1773,1405,389
2020-04-25,0,1537,1101,369
2020-04-26,0,461,309,242
2020-04-27,0,3764,610,437
2020-04-28,0,1520,1373,367
2020-04-29,0,-1417,1342,427
2020-04-30,0,1139,1248,289
2020-05-01,0,604,736,218
2020-05-02,0,794,350,166
2020-05-03,0,308,222,135
2020-05-04,0,576,587,306
2020-05-05,0,1104,1365,330
2020-05-06,0,4183,1236,278
2020-05-07,0,629,1055,178
2020-05-08,0,642,755,243
2020-05-09,0,433,256,80
2020-05-10,0,209,179,70
2020-05-11,0,456,507,263
2020-05-12,0,708,1061,348
2020-05-13,0,507,888,83
2020-05-14,0,622,932,351
2020-05-15,0,563,843,104
2020-05-16,0,372,618,96
2020-05-17,0,120,147,483
2020-05-18,0,492,515,131
2020-05-19,0,524,835,-217
2020-05-20,0,418,791,110
2020-05-21,0,318,504,83
2020-05-22,0,393,351,74
2020-05-23,0,250,338,43
2020-05-24,0,115,70,35
2020-05-25,0,358,582,90
2020-05-26,0,276,680,73
2020-05-27,0,191,705,66
2020-05-28,0,3325,607,66
2020-05-29,0,597,612,52
2020-05-30,0,1828,465,57
2020-05-31,0,257,87,31
2020-06-01,0,338,85,31
2020-06-02,0,-766,372,107
2020-06-03,0,352,643,81
