date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,1,0,0
2020-03-03,2,1,0,0
2020-03-04,11,2,0,0
2020-03-05,0,0,0,0
2020-03-06,2,0,0,0
2020-03-07,2,0,0,0
2020-03-08,2,0,1,0
2020-03-09,6,0,0,0
2020-03-10,1,0,0,0
2020-03-11,8,0,0,0
2020-03-12,6,0,0,0
2020-03-13,12,6,0,0
2020-03-14,3,0,0,0
2020-03-15,2,14,0,0
2020-03-16,9,0,1,0
2020-03-17,44,2,0,0
2020-03-18,27,5,0,0
2020-03-19,22,0,0,0
2020-03-20,56,7,0,0
2020-03-21,31,9,3,0
2020-03-22,85,20,0,0
2020-03-23,60,12,0,0
2020-03-24,59,7,3,0
2020-03-25,142,13,1,0
2020-03-26,130,6,0,0
2020-03-27,144,14,2,0
2020-03-28,98,11,7,0
2020-03-29,151,12,9,0
2020-03-30,87,20,0,0
2020-03-31,97,13,13,0
2020-04-01,195,15,5,1
2020-04-02,127,5,10,0
2020-04-03,153,12,11,0
2020-04-04,177,12,6,1
2020-04-05,92,3,10,0
2020-04-06,95,4,10,0
2020-04-07,110,11,13,0
2020-04-08,108,7,8,0
2020-04-09,199,6,10,0
2020-04-10,195,15,14,0
2020-04-11,173,13,15,0
2020-04-12,104,2,19,0
2020-04-13,144,11,7,0
2020-04-14,272,8,5,0
2020-04-15,227,15,7,0
2020-04-16,435,21,4,0
2020-04-17,287,7,4,0
2020-04-18,226,8,13,1
2020-04-19,313,17,9,0
2020-04-20,281,10,15,2
2020-04-21,466,35,7,0
2020-04-22,482,30,11,1
2020-04-23,387,37,4,0
2020-04-24,528,66,5,1
2020-04-25,703,69,14,0
2020-04-26,579,57,7,2
2020-04-27,677,65,1,0
2020-04-28,873,87,12,0
2020-04-29,800,59,19,0
2020-04-30,1161,51,19,0
2020-05-01,901,91,22,0
2020-05-02,1190,91,12,0
2020-05-03,810,67,4,0
2020-05-04,807,89,43,1
2020-05-05,702,58,55,1
2020-05-06,1182,104,23,1
2020-05-07,1027,59,69,1
2020-05-08,872,59,49,0
2020-05-09,848,83,32,4
2020-05-10,1356,75,7,2
2020-05-11,917,177,65,0
2020-05-12,1099,109,27,0
2020-05-13,920,110,40,2
2020-05-14,992,84,60,2
2020-05-15,1128,121,48,2
2020-05-16,989,119,59,0
2020-05-17,816,51,24,0
2020-05-18,1172,64,103,1
2020-05-19,930,73,57,4
2020-05-20,1042,97,53,0
2020-05-21,1215,98,65,3
2020-05-22,1199,97,60,0
2020-05-23,934,67,105,1
2020-05-24,889,71,40,1
2020-05-25,1091,83,59,0
2020-05-26,551,31,50,1
2020-05-27,961,92,21,2
2020-05-28,991,95,100,1
2020-05-29,1236,81,52,2
2020-05-30,1370,106,23,1
2020-05-31,1024,110,40,0
2020-06-01,1820,94,57,0
2020-06-02,1339,97,96,1
2020-06-03,1549,96,109,2
2020-06-04,1348,89,99,0
2020-06-05,1700,134,114,0
2020-06-06,1166,94,236,2
2020-06-07,1266,79,76,2
